Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value
Afghanistan,F,Education,Higher,... if she burns the food,01/01/2015,3.1780497764304645
Afghanistan,F,Education,Secondary,... if she burns the food,01/01/2015,3.7013510788987767
Afghanistan,F,Education,Primary,... if she burns the food,01/01/2015,3.7148351498733914
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2015,3.7148351498733914
Afghanistan,F,Employment,Employed for kind,... if she burns the food,01/01/2015,4.123105625617661
Afghanistan,F,Age,15-24,... if she burns the food,01/01/2015,4.159326776902789
Afghanistan,F,Employment,Unemployed,... if she burns the food,01/01/2015,4.242640687119285
Afghanistan,F,Residence,Rural,... if she burns the food,01/01/2015,4.254409522068806
Afghanistan,F,Age,25-34,... if she burns the food,01/01/2015,4.266145890958191
Afghanistan,F,Marital status,Married or living together,... if she burns the food,01/01/2015,4.277849838068249
Afghanistan,F,Residence,Urban,... if she burns the food,01/01/2015,4.277849838068249
Afghanistan,F,Age,35-49,... if she burns the food,01/01/2015,4.335896589756327
Afghanistan,F,Education,No education,... if she burns the food,01/01/2015,4.370354720325311
Afghanistan,F,Employment,Employed for cash,... if she burns the food,01/01/2015,4.56070161675378
Afghanistan,M,Education,Higher,... if she burns the food,01/01/2015,2.1213203435596424
Afghanistan,M,Residence,Urban,... if she burns the food,01/01/2015,2.1447610367200745
Afghanistan,M,Employment,Unemployed,... if she burns the food,01/01/2015,2.28035080837689
Afghanistan,M,Education,Primary,... if she burns the food,01/01/2015,2.5099801175975207
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2015,2.5099801175975207
Afghanistan,M,Education,Secondary,... if she burns the food,01/01/2015,2.6645825009994657
Afghanistan,M,Age,25-34,... if she burns the food,01/01/2015,2.8635641793515187
Afghanistan,M,Employment,Employed for cash,... if she burns the food,01/01/2015,2.8982752834281067
Afghanistan,M,Marital status,Married or living together,... if she burns the food,01/01/2015,2.9154759474226504
Afghanistan,M,Age,35-49,... if she burns the food,01/01/2015,2.9325757247630837
Afghanistan,M,Age,15-24,... if she burns the food,01/01/2015,3.0659418811403247
Afghanistan,M,Residence,Rural,... if she burns the food,01/01/2015,3.11448226985885
Afghanistan,M,Education,No education,... if she burns the food,01/01/2015,3.2557641778036883
Afghanistan,M,Employment,Employed for kind,... if she burns the food,01/01/2015,3.2710854176045507
Afghanistan,F,Age,15-24,... for at least one specific reason,01/01/2015,8.949860248859816
Afghanistan,F,Age,25-34,... for at least one specific reason,01/01/2015,9.027735042633894
Afghanistan,F,Age,35-49,... for at least one specific reason,01/01/2015,8.888194417315589
Afghanistan,F,Age,15-24,... if she argues with him,01/01/2015,7.582875444051551
Afghanistan,F,Age,25-34,... if she argues with him,01/01/2015,7.745966692414834
Afghanistan,F,Age,35-49,... if she argues with him,01/01/2015,7.733045922342667
Afghanistan,F,Age,15-24,... if she goes out without telling him,01/01/2015,8.228000786840154
Afghanistan,F,Age,25-34,... if she goes out without telling him,01/01/2015,8.276472678623424
Afghanistan,F,Age,35-49,... if she goes out without telling him,01/01/2015,8.043630831175818
Afghanistan,F,Age,15-24,... if she neglects the children,01/01/2015,6.819090848492928
Afghanistan,F,Age,25-34,... if she neglects the children,01/01/2015,7.085195887407733
Afghanistan,F,Age,35-49,... if she neglects the children,01/01/2015,6.935416243753585
Afghanistan,F,Age,15-24,... if she refuses to have sex with him,01/01/2015,5.665686055026443
Afghanistan,F,Age,25-34,... if she refuses to have sex with him,01/01/2015,5.856620120603738
Afghanistan,F,Age,35-49,... if she refuses to have sex with him,01/01/2015,5.787918451395113
Afghanistan,F,Education,Higher,... for at least one specific reason,01/01/2015,7.816648800740705
Afghanistan,F,Education,No education,... for at least one specific reason,01/01/2015,9.0
Afghanistan,F,Education,Primary,... for at least one specific reason,01/01/2015,8.933084744463013
Afghanistan,F,Education,Secondary,... for at least one specific reason,01/01/2015,8.717797887081348
Afghanistan,F,Education,Higher,... if she argues with him,01/01/2015,6.1400326353317904
Afghanistan,F,Education,No education,... if she argues with him,01/01/2015,7.758865945673985
Afghanistan,F,Education,Primary,... if she argues with him,01/01/2015,7.543208967401003
Afghanistan,F,Education,Secondary,... if she argues with him,01/01/2015,7.4431177288740304
Afghanistan,F,Education,Higher,... if she goes out without telling him,01/01/2015,6.410928050923758
Afghanistan,F,Education,No education,... if she goes out without telling him,01/01/2015,8.270429343503208
Afghanistan,F,Education,Primary,... if she goes out without telling him,01/01/2015,8.006247465206224
Afghanistan,F,Education,Secondary,... if she goes out without telling him,01/01/2015,7.628892499107551
Afghanistan,F,Education,Higher,... if she neglects the children,01/01/2015,5.779273442732997
Afghanistan,F,Education,No education,... if she neglects the children,01/01/2015,6.992853603921571
Afghanistan,F,Education,Primary,... if she neglects the children,01/01/2015,7.11336759025717
Afghanistan,F,Education,Secondary,... if she neglects the children,01/01/2015,6.663332614081253
Afghanistan,F,Education,Higher,... if she refuses to have sex with him,01/01/2015,3.286335374050382
Afghanistan,F,Education,No education,... if she refuses to have sex with him,01/01/2015,5.848076672115325
Afghanistan,F,Education,Primary,... if she refuses to have sex with him,01/01/2015,5.991660998911646
Afghanistan,F,Education,Secondary,... if she refuses to have sex with him,01/01/2015,5.157518820272954
Afghanistan,F,Employment,Employed for cash,... for at least one specific reason,01/01/2015,8.955445100509644
Afghanistan,F,Employment,Employed for kind,... for at least one specific reason,01/01/2015,9.322017030979879
Afghanistan,F,Employment,Unemployed,... for at least one specific reason,01/01/2015,8.949860248859816
Afghanistan,F,Employment,Employed for cash,... if she argues with him,01/01/2015,7.602631073323271
Afghanistan,F,Employment,Employed for kind,... if she argues with him,01/01/2015,7.314369419163897
Afghanistan,F,Employment,Unemployed,... if she argues with him,01/01/2015,7.733045922342667
Afghanistan,F,Employment,Employed for cash,... if she goes out without telling him,01/01/2015,8.16700660880363
Afghanistan,F,Employment,Employed for kind,... if she goes out without telling him,01/01/2015,8.246211251235321
Afghanistan,F,Employment,Unemployed,... if she goes out without telling him,01/01/2015,8.18535277187245
Afghanistan,F,Employment,Employed for cash,... if she neglects the children,01/01/2015,6.935416243753585
Afghanistan,F,Employment,Employed for kind,... if she neglects the children,01/01/2015,7.02139581828717
Afghanistan,F,Employment,Unemployed,... if she neglects the children,01/01/2015,6.971369913734394
Afghanistan,F,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2015,5.70087712549569
