FECHA HECHO,CANTIDAD,GENERO,ARMAS MEDIOS,Number of domestic violence
2015-01-01,1,FEMENINO,NO REPORTA,4
2015-01-01,10,MASCULINO,CONTUNDENTES,1
2015-01-01,1,MASCULINO,CORTOPUNZANTES,1
2015-01-01,3,FEMENINO,CONTUNDENTES,8
2015-01-01,10,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-01,5,FEMENINO,CONTUNDENTES,2
2015-01-01,2,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-01,2,MASCULINO,CONTUNDENTES,3
2015-01-01,16,FEMENINO,CONTUNDENTES,1
2015-01-01,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-01,14,FEMENINO,CONTUNDENTES,1
2015-01-01,3,MASCULINO,CONTUNDENTES,2
2015-01-01,1,FEMENINO,SIN EMPLEO DE ARMAS,24
2015-01-01,6,FEMENINO,CONTUNDENTES,4
2015-01-01,2,FEMENINO,CONTUNDENTES,7
2015-01-01,2,MASCULINO,SIN EMPLEO DE ARMAS,2
2015-01-01,1,FEMENINO,CONTUNDENTES,65
2015-01-01,4,FEMENINO,CONTUNDENTES,2
2015-01-01,1,FEMENINO,ESCOPOLAMINA,1
2015-01-01,1,FEMENINO,CORTOPUNZANTES,1
2015-01-01,1,MASCULINO,CORTANTES,2
2015-01-01,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,8
2015-01-01,1,MASCULINO,CONTUNDENTES,18
2015-01-01,2,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-01,10,FEMENINO,CONTUNDENTES,1
2015-01-01,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,10
2015-01-01,1,MASCULINO,SIN EMPLEO DE ARMAS,5
2015-01-02,2,FEMENINO,CONTUNDENTES,7
2015-01-02,3,FEMENINO,CONTUNDENTES,3
2015-01-02,5,FEMENINO,SIN EMPLEO DE ARMAS,1
2015-01-02,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-02,5,FEMENINO,CONTUNDENTES,1
2015-01-02,1,MASCULINO,SIN EMPLEO DE ARMAS,2
2015-01-02,2,MASCULINO,CONTUNDENTES,2
2015-01-02,1,FEMENINO,CORTANTES,2
2015-01-02,1,FEMENINO,CORTOPUNZANTES,1
2015-01-02,1,FEMENINO,SIN EMPLEO DE ARMAS,8
2015-01-02,1,MASCULINO,CONTUNDENTES,12
2015-01-02,2,FEMENINO,SIN EMPLEO DE ARMAS,2
2015-01-02,2,FEMENINO,NO REPORTA,1
2015-01-02,10,FEMENINO,CONTUNDENTES,1
2015-01-02,1,FEMENINO,CONTUNDENTES,33
2015-01-03,9,FEMENINO,CONTUNDENTES,1
2015-01-03,18,FEMENINO,CONTUNDENTES,1
2015-01-03,1,MASCULINO,CONTUNDENTES,9
2015-01-03,1,FEMENINO,NO REPORTA,1
2015-01-03,1,MASCULINO,SIN EMPLEO DE ARMAS,5
2015-01-03,3,FEMENINO,CONTUNDENTES,3
2015-01-03,3,MASCULINO,SIN EMPLEO DE ARMAS,1
2015-01-03,1,MASCULINO,ESCOPOLAMINA,1
2015-01-03,1,FEMENINO,CONTUNDENTES,39
2015-01-03,2,FEMENINO,CONTUNDENTES,6
2015-01-03,1,FEMENINO,CORTANTES,1
2015-01-03,5,MASCULINO,CONTUNDENTES,1
2015-01-03,2,FEMENINO,NO REPORTA,1
2015-01-03,4,FEMENINO,CONTUNDENTES,1
2015-01-03,1,MASCULINO,PUNZANTES,1
2015-01-03,1,FEMENINO,SIN EMPLEO DE ARMAS,11
2015-01-03,2,FEMENINO,SIN EMPLEO DE ARMAS,1
