FECHA HECHO,CANTIDAD,GENERO,ARMAS MEDIOS,Number of domestic violence
2015-01-01,1,F,NO REPORTA,4
2015-01-01,10,M,CONTUNDENTES,1
2015-01-01,1,M,CORTOPUNZANTES,1
2015-01-01,3,F,CONTUNDENTES,8
2015-01-01,10,F,SIN EMPLEO DE ARMAS,2
2015-01-01,5,F,CONTUNDENTES,2
2015-01-01,2,F,SIN EMPLEO DE ARMAS,2
2015-01-01,2,M,CONTUNDENTES,3
2015-01-01,16,F,CONTUNDENTES,1
2015-01-01,3,F,SIN EMPLEO DE ARMAS,1
2015-01-01,14,F,CONTUNDENTES,1
2015-01-01,3,M,CONTUNDENTES,2
2015-01-01,1,F,SIN EMPLEO DE ARMAS,24
2015-01-01,6,F,CONTUNDENTES,4
2015-01-01,2,F,CONTUNDENTES,7
2015-01-01,2,M,SIN EMPLEO DE ARMAS,2
2015-01-01,1,F,CONTUNDENTES,65
2015-01-01,4,F,CONTUNDENTES,2
2015-01-01,1,F,ESCOPOLAMINA,1
2015-01-01,1,F,CORTOPUNZANTES,1
2015-01-01,1,M,CORTANTES,2
2015-01-01,1,M,ARMA BLANCA / CORTOPUNZANTE,8
2015-01-01,1,M,CONTUNDENTES,18
2015-01-01,2,F,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-01,10,F,CONTUNDENTES,1
2015-01-01,1,F,ARMA BLANCA / CORTOPUNZANTE,10
2015-01-01,1,M,SIN EMPLEO DE ARMAS,5
2015-01-02,2,F,CONTUNDENTES,7
2015-01-02,3,F,CONTUNDENTES,3
2015-01-02,5,F,SIN EMPLEO DE ARMAS,1
2015-01-02,1,F,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-02,5,F,CONTUNDENTES,1
2015-01-02,1,M,SIN EMPLEO DE ARMAS,2
2015-01-02,2,M,CONTUNDENTES,2
2015-01-02,1,F,CORTANTES,2
2015-01-02,1,F,CORTOPUNZANTES,1
2015-01-02,1,F,SIN EMPLEO DE ARMAS,8
2015-01-02,1,M,CONTUNDENTES,12
2015-01-02,2,F,SIN EMPLEO DE ARMAS,2
2015-01-02,2,F,NO REPORTA,1
2015-01-02,10,F,CONTUNDENTES,1
2015-01-02,1,F,CONTUNDENTES,33
2015-01-03,9,F,CONTUNDENTES,1
2015-01-03,18,F,CONTUNDENTES,1
2015-01-03,1,M,CONTUNDENTES,9
2015-01-03,1,F,NO REPORTA,1
2015-01-03,1,M,SIN EMPLEO DE ARMAS,5
2015-01-03,3,F,CONTUNDENTES,3
2015-01-03,3,M,SIN EMPLEO DE ARMAS,1
2015-01-03,1,M,ESCOPOLAMINA,1
2015-01-03,1,F,CONTUNDENTES,39
2015-01-03,2,F,CONTUNDENTES,6
2015-01-03,1,F,CORTANTES,1
2015-01-03,5,M,CONTUNDENTES,1
2015-01-03,2,F,NO REPORTA,1
2015-01-03,4,F,CONTUNDENTES,1
2015-01-03,1,M,PUNZANTES,1
2015-01-03,1,F,SIN EMPLEO DE ARMAS,11
2015-01-03,2,F,SIN EMPLEO DE ARMAS,1
2015-01-03,1,F,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-03,1,M,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-03,3,F,SIN EMPLEO DE ARMAS,1
2015-01-04,5,M,CONTUNDENTES,1
2015-01-04,7,F,SIN EMPLEO DE ARMAS,1
2015-01-04,1,M,SIN EMPLEO DE ARMAS,3
2015-01-04,1,F,SIN EMPLEO DE ARMAS,11
2015-01-04,2,F,CONTUNDENTES,8
2015-01-04,6,F,CONTUNDENTES,1
2015-01-04,1,M,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-04,16,F,CONTUNDENTES,1
2015-01-04,1,M,CONTUNDENTES,11
2015-01-04,3,F,CONTUNDENTES,5
2015-01-04,1,F,ARMA BLANCA / CORTOPUNZANTE,3
2015-01-04,1,F,CONTUNDENTES,51
2015-01-04,2,F,SIN EMPLEO DE ARMAS,1
2015-01-04,2,M,SIN EMPLEO DE ARMAS,1
2015-01-04,8,F,CONTUNDENTES,1
2015-01-04,2,F,ARMA BLANCA / CORTOPUNZANTE,1
2015-01-04,2,M,CONTUNDENTES,2
2015-01-05,1,F,CONTUNDENTES,41
2015-01-05,3,M,SIN EMPLEO DE ARMAS,1
2015-01-05,3,F,CONTUNDENTES,4
2015-01-05,1,F,ESCOPOLAMINA,1
2015-01-05,1,F,ARMA DE FUEGO,1
2015-01-05,3,M,CONTUNDENTES,2
2015-01-05,1,M,SIN EMPLEO DE ARMAS,6
2015-01-05,1,M,ARMA DE FUEGO,1
2015-01-05,3,F,SIN EMPLEO DE ARMAS,1
2015-01-05,2,F,SIN EMPLEO DE ARMAS,2
2015-01-05,11,F,CONTUNDENTES,1
2015-01-05,1,M,PUNZANTES,1
2015-01-05,1,F,SIN EMPLEO DE ARMAS,12
2015-01-05,2,F,CONTUNDENTES,4
2015-01-05,1,M,CONTUNDENTES,13
2015-01-05,1,F,NO REPORTA,1
2015-01-05,6,F,CONTUNDENTES,1
2015-01-05,6,M,CONTUNDENTES,1
2015-01-05,2,M,CONTUNDENTES,2
2015-01-05,2,M,SIN EMPLEO DE ARMAS,1
2015-01-05,5,F,CONTUNDENTES,3
2015-01-06,1,F,CORTANTES,1
2015-01-06,3,F,CONTUNDENTES,1
2015-01-06,1,M,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-06,1,F,SIN EMPLEO DE ARMAS,8
2015-01-06,1,F,NO REPORTA,3
2015-01-06,1,F,ESCOPOLAMINA,1
2015-01-06,2,F,SIN EMPLEO DE ARMAS,1
2015-01-06,3,F,SIN EMPLEO DE ARMAS,1
2015-01-06,1,M,NO REPORTA,1
2015-01-06,1,F,ARMA BLANCA / CORTOPUNZANTE,2
2015-01-06,7,F,CONTUNDENTES,1
2015-01-06,16,F,CONTUNDENTES,1
2015-01-06,1,M,SIN EMPLEO DE ARMAS,3
2015-01-06,4,F,CONTUNDENTES,1
2015-01-06,1,M,CONTUNDENTES,12
2015-01-06,2,F,CONTUNDENTES,8
2015-01-06,1,F,CONTUNDENTES,28
2015-01-06,2,M,CONTUNDENTES,3
2015-01-06,5,F,SIN EMPLEO DE ARMAS,1
2015-01-06,1,F,PUNZANTES,1
2015-01-07,5,F,SIN EMPLEO DE ARMAS,1
2015-01-07,4,F,CONTUNDENTES,1
2015-01-07,2,F,CONTUNDENTES,6
2015-01-07,2,F,SIN EMPLEO DE ARMAS,3
2015-01-07,4,M,CONTUNDENTES,1
2015-01-07,1,F,CORTOPUNZANTES,2
