fecha_hecho,cantidad,genero,armas_medios,Number of domestic violence
2021-01-01,5,MASCULINO,SIN EMPLEO DE ARMAS,2
2021-01-01,2,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,2
2021-01-01,7,MASCULINO,CONTUNDENTES,1
2021-01-01,2,FEMENINO,SIN EMPLEO DE ARMAS,17
2021-01-01,7,FEMENINO,CONTUNDENTES,1
2021-01-01,1,FEMENINO,CONTUNDENTES,65
2021-01-01,1,FEMENINO,SIN EMPLEO DE ARMAS,70
2021-01-01,12,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-01,2,MASCULINO,CONTUNDENTES,5
2021-01-01,3,MASCULINO,SIN EMPLEO DE ARMAS,3
2021-01-01,16,FEMENINO,CONTUNDENTES,1
2021-01-01,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,5
2021-01-01,10,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-01,2,MASCULINO,SIN EMPLEO DE ARMAS,3
2021-01-01,11,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-01,6,FEMENINO,CONTUNDENTES,2
2021-01-01,9,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-01,8,FEMENINO,CONTUNDENTES,1
2021-01-01,5,FEMENINO,CONTUNDENTES,1
2021-01-01,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,7
2021-01-01,2,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2021-01-01,1,FEMENINO,ARMA DE FUEGO,2
2021-01-01,4,FEMENINO,SIN EMPLEO DE ARMAS,3
2021-01-01,10,FEMENINO,CONTUNDENTES,1
2021-01-01,2,FEMENINO,CONTUNDENTES,12
2021-01-01,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-01,5,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-01,3,FEMENINO,CONTUNDENTES,8
2021-01-01,1,MASCULINO,SIN EMPLEO DE ARMAS,25
2021-01-01,4,FEMENINO,CONTUNDENTES,3
2021-01-01,3,FEMENINO,SIN EMPLEO DE ARMAS,4
2021-01-01,1,MASCULINO,CONTUNDENTES,21
2021-01-02,2,FEMENINO,CONTUNDENTES,11
2021-01-02,16,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-02,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,3
2021-01-02,1,FEMENINO,SIN EMPLEO DE ARMAS,36
2021-01-02,2,MASCULINO,CONTUNDENTES,1
2021-01-02,1,MASCULINO,SIN EMPLEO DE ARMAS,14
2021-01-02,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2021-01-02,3,FEMENINO,CONTUNDENTES,2
2021-01-02,2,FEMENINO,SIN EMPLEO DE ARMAS,8
2021-01-02,7,FEMENINO,CONTUNDENTES,1
2021-01-02,2,MASCULINO,SIN EMPLEO DE ARMAS,4
2021-01-02,8,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-02,1,FEMENINO,CONTUNDENTES,29
2021-01-02,3,FEMENINO,SIN EMPLEO DE ARMAS,5
2021-01-02,1,MASCULINO,CONTUNDENTES,8
2021-01-02,4,FEMENINO,CONTUNDENTES,2
2021-01-03,3,MASCULINO,CONTUNDENTES,1
2021-01-03,12,FEMENINO,CONTUNDENTES,1
2021-01-03,1,FEMENINO,SIN EMPLEO DE ARMAS,43
2021-01-03,3,MASCULINO,SIN EMPLEO DE ARMAS,2
2021-01-03,2,MASCULINO,CONTUNDENTES,3
2021-01-03,6,FEMENINO,CONTUNDENTES,1
2021-01-03,1,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,7
2021-01-03,2,FEMENINO,SIN EMPLEO DE ARMAS,9
2021-01-03,18,FEMENINO,CONTUNDENTES,1
2021-01-03,16,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-03,3,FEMENINO,CONTUNDENTES,1
2021-01-03,4,FEMENINO,SIN EMPLEO DE ARMAS,2
2021-01-03,1,MASCULINO,CONTUNDENTES,18
2021-01-03,3,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-03,2,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-03,1,MASCULINO,SIN EMPLEO DE ARMAS,18
2021-01-03,1,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,1
2021-01-03,1,FEMENINO,CONTUNDENTES,40
2021-01-03,2,FEMENINO,CONTUNDENTES,9
2021-01-03,4,FEMENINO,CONTUNDENTES,1
2021-01-03,1,FEMENINO,ARMA DE FUEGO,3
2021-01-03,6,FEMENINO,SIN EMPLEO DE ARMAS,1
2021-01-04,1,MASCULINO,CONTUNDENTES,18
2021-01-04,3,MASCULINO,SIN EMPLEO DE ARMAS,1
2021-01-04,17,FEMENINO,CONTUNDENTES,1
2021-01-04,4,FEMENINO,CONTUNDENTES,1
