FECHA HECHO,CANTIDAD,GENERO,Weapon Used,Total domestic violence
2015-03-06,2,F,No Weapon or Substance Used,4.0
2015-03-17,2,F,Using weapons and substances with a certain degree of harm,9.0
2015-03-18,1,F,Unknown,3.0
2015-03-21,3,F,No Weapon or Substance Used,1.0
2015-04-14,1,F,Using weapons and substances with a certain degree of harm,31.0
2015-04-25,1,F,Using weapons and substances with a certain degree of harm,56.0
2015-05-03,17,F,Using weapons and substances with a certain degree of harm,1.0
2015-05-07,1,F,Using weapons and substances with a certain degree of harm,45.0
2015-05-17,4,F,Using weapons and substances with a certain degree of harm,1.0
2015-05-23,4,F,No Weapon or Substance Used,1.0
2015-05-24,9,M,No Weapon or Substance Used,1.0
2015-05-26,16,F,No Weapon or Substance Used,1.0
2015-06-06,2,F,No Weapon or Substance Used,7.0
2015-06-15,17,F,Using weapons and substances with a certain degree of harm,1.0
2015-06-17,1,F,Unknown,1.0
2015-07-02,1,F,No Weapon or Substance Used,30.0
2015-07-07,6,F,No Weapon or Substance Used,1.0
2015-07-10,11,F,No Weapon or Substance Used,1.0
2015-07-12,4,M,Using weapons and substances with a certain degree of harm,1.0
2015-07-13,1,F,No Weapon or Substance Used,20.0
2015-07-23,2,F,No Weapon or Substance Used,4.0
2015-08-16,8,F,No Weapon or Substance Used,1.0
2015-08-18,4,F,Using weapons and substances with a certain degree of harm,1.0
2015-08-29,4,F,Using weapons and substances with a certain degree of harm,1.0
2015-09-01,2,M,No Weapon or Substance Used,5.0
2015-09-07,2,M,No Weapon or Substance Used,1.0
2015-09-20,3,M,No Weapon or Substance Used,1.0
2015-10-28,3,F,No Weapon or Substance Used,2.0
2015-12-03,5,F,No Weapon or Substance Used,1.0
2015-12-22,1,F,No Weapon or Substance Used,9.0
2015-12-30,1,F,Unknown,2.0
2016-01-03,5,F,Using weapons and substances with a certain degree of harm,1.0
2016-01-09,4,F,Using weapons and substances with a certain degree of harm,1.0
2016-01-18,8,M,No Weapon or Substance Used,1.0
2016-01-22,2,M,No Weapon or Substance Used,2.0
2016-03-09,2,M,Using weapons and substances with a certain degree of harm,4.0
2016-03-14,2,M,Using weapons and substances with a certain degree of harm,1.0
2016-03-20,1,F,Using weapons and substances with a certain degree of harm,64.0
2016-03-23,3,F,No Weapon or Substance Used,2.0
2016-03-24,3,M,Using weapons and substances with a certain degree of harm,2.0
2016-03-27,1,F,No Weapon or Substance Used,16.0
2016-04-02,1,F,No Weapon or Substance Used,17.0
2016-04-02,4,F,No Weapon or Substance Used,1.0
2016-04-25,1,F,Using weapons and substances with a certain degree of harm,55.0
2016-04-25,1,F,Unknown,4.0
2016-05-03,3,M,No Weapon or Substance Used,1.0
2016-05-13,2,M,No Weapon or Substance Used,1.0
2016-05-14,5,F,Using weapons and substances with a certain degree of harm,1.0
2016-05-26,1,M,Using weapons and substances with a certain degree of harm,12.0
2016-06-04,2,M,Using weapons and substances with a certain degree of harm,3.0
2016-06-18,2,M,No Weapon or Substance Used,2.0
2016-07-01,1,F,Unknown,2.0
2016-07-16,2,F,Using weapons and substances with a certain degree of harm,16.0
2016-07-17,4,F,Using weapons and substances with a certain degree of harm,6.0
2016-08-01,6,F,Using weapons and substances with a certain degree of harm,4.0
2016-08-29,9,F,Using weapons and substances with a certain degree of harm,1.0
2016-10-03,3,M,Using weapons and substances with a certain degree of harm,2.0
2016-10-12,3,F,Using weapons and substances with a certain degree of harm,4.0
2016-10-19,3,F,No Weapon or Substance Used,4.0
2016-10-20,1,F,Unknown,2.0
2016-10-29,2,F,Using weapons and substances with a certain degree of harm,7.0
2016-11-19,16,F,No Weapon or Substance Used,1.0
2016-11-30,2,M,No Weapon or Substance Used,2.0
2016-12-12,4,F,Using weapons and substances with a certain degree of harm,4.0
2016-12-18,1,F,Using weapons and substances with a certain degree of harm,59.0
2017-01-08,5,F,No Weapon or Substance Used,1.0
2017-01-09,8,F,Using weapons and substances with a certain degree of harm,1.0
2017-01-15,5,F,Using weapons and substances with a certain degree of harm,2.0
2017-01-21,3,F,No Weapon or Substance Used,2.0
2017-01-22,4,F,Using weapons and substances with a certain degree of harm,4.0
2017-01-26,1,F,Unknown,2.0
2017-02-06,1,F,Using weapons and substances with a certain degree of harm,51.0
2017-02-08,2,M,Using weapons and substances with a certain degree of harm,1.0
2017-02-13,2,M,Using weapons and substances with a certain degree of harm,3.0
2017-02-27,5,F,Using weapons and substances with a certain degree of harm,1.0
2017-03-30,5,F,No Weapon or Substance Used,1.0
2017-04-05,6,F,Using weapons and substances with a certain degree of harm,2.0
2017-04-30,4,M,Using weapons and substances with a certain degree of harm,1.0
2017-05-07,3,M,No Weapon or Substance Used,2.0
2017-05-08,6,F,Using weapons and substances with a certain degree of harm,2.0
2017-06-09,2,F,Using weapons and substances with a certain degree of harm,9.0
2017-06-20,13,F,Using weapons and substances with a certain degree of harm,1.0
2017-07-08,6,F,Using weapons and substances with a certain degree of harm,2.0
2017-07-10,3,F,Using weapons and substances with a certain degree of harm,2.0
2017-07-19,1,F,Using weapons and substances with a certain degree of harm,40.0
2017-07-25,3,M,Using weapons and substances with a certain degree of harm,1.0
2017-07-30,2,M,No Weapon or Substance Used,3.0
2017-07-30,1,M,No Weapon or Substance Used,16.0
2017-07-31,6,F,Using weapons and substances with a certain degree of harm,1.0
2017-08-12,5,F,No Weapon or Substance Used,1.0
2017-08-15,12,M,No Weapon or Substance Used,1.0
